2006	11	2014	3	210	580717	0.961639043
2007	2	2014	3	140	293678	1.25231444
2007	2	2014	3	135	283712	1.254675516
2008	8	2014	3	23	281336	1.090869565
2009	4	2014	3	152	309928	0.970657895
2008	2	2014	3	92	294585	0.967692483
2006	3	2014	3	101	287042	0.965346535
2010	4	2014	3	73	287230	0.962070222
2011	6	2014	3	56	321489	0.828478237
2010	7	2014	3	64	375074	0.708010153
2010	11	2014	3	43	262013	0.988658044
2004	11	2014	3	145	271438	0.95253487
2006	11	2014	3	29	321529	0.799126984
2006	10	2014	3	118	179514	1.398381742
